Codigo Familia;Familia;legado
2418;VOIL LINHO LIST 2.80M;2418-VOIL LINHO LIST 2.80M
2419;VOIL LINHO XD 2.80M;2419-VOIL LINHO XD 2.80M
2430;JACQUARD 1.40M;2430-JACQUARD 1.40M
2435;JACQUARD 1.40M;2435-JACQUARD 1.40M
2436;VOIL CRISTAL CLD 3.00M;2436-VOIL CRISTAL CLD 3.00M
2437;GORGURAO CLD 3.00M;2437-GORGURAO CLD 3.00M
2440;BLACKOUT SILK 2.80M;2440-BLACKOUT SILK 2.80M
2442;VOIL SUICO LINHO 3.00M;2442-VOIL SUICO LINHO 3.00M
2443;VOIL SUICO LINHO 3.00M;2443-VOIL SUICO LINHO 3.00M
2444;VOIL LINHO 3.00M;2444-VOIL LINHO 3.00M
2445;VOIL LINHO LIST 3.00M;2445-VOIL LINHO LIST 3.00M
2446;VOIL LINHO LIST 3.00M;2446-VOIL LINHO LIST 3.00M
2447;VOIL LINHO LIST 3.00M;2447-VOIL LINHO LIST 3.00M
2448;VOIL LINHO LIST 3.00M;2448-VOIL LINHO LIST 3.00M
2449;VOIL TAFETA 3.00M;2449-VOIL TAFETA 3.00M
2450;VOIL TAFETA 3.00M;2450-VOIL TAFETA 3.00M
2451;VOIL TAFETA 3.00M;2451-VOIL TAFETA 3.00M
2452;TAFETA ESPECIAL 2.80M;2452-TAFETA ESPECIAL 2.80M
2453;TAFETA ESPECIAL 2.80M;2453-TAFETA ESPECIAL 2.80M
2454;TAFETA ESPECIAL 2.80M;2454-TAFETA ESPECIAL 2.80M
2455;VOIL FLAME 2.80M;2455-VOIL FLAME 2.80M
2456;JACQUARD LINHO 3.00M;2456-JACQUARD LINHO 3.00M
2457;JACQUARD LINHO 3.00M;2457-JACQUARD LINHO 3.00M
2458;JACQUARD LINHO 3.00M;2458-JACQUARD LINHO 3.00M
2460;VELUDO CLD 1.40M;2460-VELUDO CLD 1.40M
2461;VELUDO CLD 1.40M;2461-VELUDO CLD 1.40M
2462;VELUDO CLD 1.40M;2462-VELUDO CLD 1.40M
2463;GORGURAO 3.00M;2463-GORGURAO 3.00M
2464;VELUDO 1.45M;2464-VELUDO 1.45M
2466;OXFORD 2.80M;2466-OXFORD 2.80M
2467;RUSTICO FLAME LIST 2.80M;2467-RUSTICO FLAME LIST 2.80M
2468;RUSTICO FLAME LIST 2.80M;2468-RUSTICO FLAME LIST 2.80M
2469;RUSTICO FLAME LIST 2.80M;2469-RUSTICO FLAME LIST 2.80M
2471;FLAME LIST 1.40M;2471-FLAME LIST 1.40M
2472;FLAME LIST 1.40M;2472-FLAME LIST 1.40M
2473;LINEN LOOK 2.80M;2473-LINEN LOOK 2.80M
2474;LINEN LOOK 2.80M;2474-LINEN LOOK 2.80M
2475;LINEN LOOK 2.80M;2475-LINEN LOOK 2.80M
2476;LINEN LOOK 2.80M;2476-LINEN LOOK 2.80M
2477;LINEN LOOK 2.80M;2477-LINEN LOOK 2.80M
2478;LINEN LOOK 2.80M;2478-LINEN LOOK 2.80M
2479;LINEN LOOK 2.80M;2479-LINEN LOOK 2.80M
2480;LINEN LOOK 2.80M;2480-LINEN LOOK 2.80M
2481;LINEN LOOK 2.80M;2481-LINEN LOOK 2.80M
2482;LINEN LOOK 2.80M;2482-LINEN LOOK 2.80M
2483;LINEN LOOK 2.80M;2483-LINEN LOOK 2.80M
2484;LINEN LOOK 2.80M;2484-LINEN LOOK 2.80M
2485;LINEN LOOK 2.80M;2485-LINEN LOOK 2.80M
2486;LINEN LOOK 2.80M;2486-LINEN LOOK 2.80M
2487;LINEN LOOK 2.80M;2487-LINEN LOOK 2.80M
2488;LINEN LOOK 2.80M;2488-LINEN LOOK 2.80M
2489;LINEN LOOK 2.80M;2489-LINEN LOOK 2.80M
2490;LINEN LOOK 2.80M;2490-LINEN LOOK 2.80M
2491;LINEN LOOK 2.80M;2491-LINEN LOOK 2.80M
2492;LINEN LOOK 2.80M;2492-LINEN LOOK 2.80M
2493;LINEN LOOK 2.80M;2493-LINEN LOOK 2.80M
2494;LINEN LOOK 2.80M;2494-LINEN LOOK 2.80M
2495;LINEN LOOK 2.80M;2495-LINEN LOOK 2.80M
2496;LINEN LOOK 2.80M;2496-LINEN LOOK 2.80M
2497;LINEN LOOK 2.80M;2497-LINEN LOOK 2.80M
2498;LINEN LOOK 2.80M;2498-LINEN LOOK 2.80M
2499;LINEN LOOK 2.80M;2499-LINEN LOOK 2.80M
2500;SUEDE 1.45M;2500-SUEDE 1.45M
2501;VELUDO AM 1.45M;2501-VELUDO AM 1.45M
2502;RUSTICO LIST 3.00M;2502-RUSTICO LIST 3.00M
2503;RUSTICO LIST 3.00M;2503-RUSTICO LIST 3.00M
2504;RUSTICO LIST 3.00M;2504-RUSTICO LIST 3.00M
2505;RUSTICO LIST 3.00M;2505-RUSTICO LIST 3.00M
2506;RUSTICO LIST 3.00M;2506-RUSTICO LIST 3.00M
2507;RUSTICO LIST 3.00M;2507-RUSTICO LIST 3.00M
2508;VOIL BD 2.80M;2508-VOIL BD 2.80M
2509;VOIL BD 2.80M;2509-VOIL BD 2.80M
2510;VOIL BD 2.80M;2510-VOIL BD 2.80M
2511;VOIL BD 2.80M;2511-VOIL BD 2.80M
2512;VOIL BD 2.80M;2512-VOIL BD 2.80M
2513;VOIL BD 2.80M;2513-VOIL BD 2.80M
2514;VOIL BD 2.80M;2514-VOIL BD 2.80M
2515;VOIL BD 2.80M;2515-VOIL BD 2.80M
2516;VOIL BD 2.80M;2516-VOIL BD 2.80M
2517;VOIL BD 2.80M;2517-VOIL BD 2.80M
2518;VOIL BD 2.80M;2518-VOIL BD 2.80M
2519;VOIL BD 2.80M;2519-VOIL BD 2.80M
2520;VOIL BD 2.80M;2520-VOIL BD 2.80M
2521;TERGAL VERAO 2.90M;2521-TERGAL VERAO 2.90M
2522;VOIL LIST 2.80M;2522-VOIL LIST 2.80M
2523;VOIL LIST 2.80M;2523-VOIL LIST 2.80M
